Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mr4Tfs-SmartDocsTCSuites,Firefox 57.0,Prereq Contains Login And Open Project,2018-01-23 15:06:35,2018-01-23 15:07:01,25.888s,FAILED
,,,,,,
Test Cases/StandAlone-Prereqs/Mr4TfsLogin-StandAlone,Firefox 57.0,,2018-01-23 15:06:35,2018-01-23 15:06:53,17.596s,PASSED
"Statement - tfsServerUrl = ""M4Tfs-StandAlone/LoginPage/mr4tfs-TFSServerURL""",Firefox 57.0,,2018-01-23 15:06:35,2018-01-23 15:06:35,0.001s,PASSED
"Statement - tfsUserName = ""M4Tfs-StandAlone/LoginPage/mr4tfs-EmailAddress""",Firefox 57.0,,2018-01-23 15:06:35,2018-01-23 15:06:35,0.001s,PASSED
"Statement - tfsPassword = ""M4Tfs-StandAlone/LoginPage/mr4tfs-Password""",Firefox 57.0,,2018-01-23 15:06:35,2018-01-23 15:06:35,0.000s,PASSED
"Statement - signInBtn = ""M4Tfs-StandAlone/LoginPage/mr4tfs-SignInBtn""",Firefox 57.0,,2018-01-23 15:06:35,2018-01-23 15:06:35,0.001s,PASSED
"Statement - browseProjectButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 15:06:35,2018-01-23 15:06:35,0.000s,PASSED
openBrowser,Firefox 57.0,,2018-01-23 15:06:35,2018-01-23 15:06:44,8.375s,PASSED
maximizeWindow,Firefox 57.0,,2018-01-23 15:06:44,2018-01-23 15:06:44,0.076s,PASSED
navigateToUrl,Firefox 57.0,,2018-01-23 15:06:44,2018-01-23 15:06:50,6.657s,PASSED
setText,Firefox 57.0,,2018-01-23 15:06:50,2018-01-23 15:06:51,0.121s,PASSED
setText,Firefox 57.0,,2018-01-23 15:06:51,2018-01-23 15:06:51,0.049s,PASSED
setText,Firefox 57.0,,2018-01-23 15:06:51,2018-01-23 15:06:51,0.043s,PASSED
click,Firefox 57.0,,2018-01-23 15:06:51,2018-01-23 15:06:53,1.915s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.075s,PASSED
Statement - browseProjectButtonText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(browseProjectButton)),Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.025s,PASSED
"Statement - assert browseProjectButtonText == ""Browse""",Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.000s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenProject,Firefox 57.0,"Define Collection Name, And Project Name.",2018-01-23 15:06:53,2018-01-23 15:06:57,4.445s,PASSED
"Statement - browseButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.001s,PASSED
"Statement - navigateButton = ""Object Repository/M4Tfs-StandAlone/RecentProjectPage/mr4tfs-ProjectNavigate""",Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.000s,PASSED
click,Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.222s,PASSED
"Statement - collectionList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", CollectionValue(GetCollectionName()))",Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.000s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(CollectionName, 1)",Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.001s,PASSED
"Statement - return ((#treeviewProjects > ul > li[title="" + collectionName) + ""] span)",Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:53,0.030s,PASSED
"Statement - className = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(collectionList, ""class"", STOP_ON_FAILURE)",Firefox 57.0,,2018-01-23 15:06:53,2018-01-23 15:06:54,0.527s,PASSED
"Statement - If (className.contains(""k-i-expand""))",Firefox 57.0,,2018-01-23 15:06:54,2018-01-23 15:06:54,0.240s,PASSED
"Statement - projectList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ProjectValue(GetProjectName()))",Firefox 57.0,,2018-01-23 15:06:54,2018-01-23 15:06:54,0.001s,PASSED
