Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
waitForElementClickable,Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:18,0.545s,PASSED
click,Firefox 57.0,,2018-01-23 13:17:18,2018-01-23 13:17:18,0.234s,PASSED
"Statement - dashboardProjectName = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ""span.title.project-name"")",Firefox 57.0,,2018-01-23 13:17:18,2018-01-23 13:17:18,0.001s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 13:17:18,2018-01-23 13:17:20,1.995s,PASSED
Statement - assert com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(dashboardProjectName) == GetProjectName(),Firefox 57.0,,2018-01-23 13:17:20,2018-01-23 13:17:20,0.135s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(Project, 1)",Firefox 57.0,,2018-01-23 13:17:20,2018-01-23 13:17:20,0.003s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenSmartDocModule,Firefox 57.0,,2018-01-23 13:17:20,2018-01-23 13:17:22,1.777s,PASSED
click,Firefox 57.0,,2018-01-23 13:17:20,2018-01-23 13:17:21,0.312s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 13:17:21,2018-01-23 13:17:22,1.394s,PASSED
delay,Firefox 57.0,,2018-01-23 13:17:22,2018-01-23 13:17:22,0.001s,NOT_RUN
,,,,,,
Test Cases/SmartDocs/VerifyThatUserIsAbleToCreateSmartDocFileOnBlankTemplate,Firefox 57.0,"Test Case Id : 18681,\nTest Case Developed By : Mubbashir Shakil,\nTest Case Created On : 23/Jan/2018",2018-01-23 13:17:22,2018-01-23 13:17:24,1.511s,FAILED
click,Firefox 57.0,,2018-01-23 13:17:22,2018-01-23 13:17:23,0.608s,PASSED
click,Firefox 57.0,,2018-01-23 13:17:23,2018-01-23 13:17:24,0.660s,PASSED
click,Firefox 57.0,,2018-01-23 13:17:24,2018-01-23 13:17:24,0.176s,FAILED
