Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mr4Tfs-SmartDocsTCSuites,Firefox 57.0,Prereq Contains Login And Open Project,2018-01-23 13:16:37,2018-01-23 13:17:24,46.767s,FAILED
,,,,,,
Test Cases/StandAlone-Prereqs/Mr4TfsLogin-StandAlone,Firefox 57.0,,2018-01-23 13:16:37,2018-01-23 13:17:16,39.119s,PASSED
"Statement - tfsServerUrl = ""M4Tfs-StandAlone/LoginPage/mr4tfs-TFSServerURL""",Firefox 57.0,,2018-01-23 13:16:38,2018-01-23 13:16:38,0.001s,PASSED
"Statement - tfsUserName = ""M4Tfs-StandAlone/LoginPage/mr4tfs-EmailAddress""",Firefox 57.0,,2018-01-23 13:16:38,2018-01-23 13:16:38,0.000s,PASSED
"Statement - tfsPassword = ""M4Tfs-StandAlone/LoginPage/mr4tfs-Password""",Firefox 57.0,,2018-01-23 13:16:38,2018-01-23 13:16:38,0.000s,PASSED
"Statement - signInBtn = ""M4Tfs-StandAlone/LoginPage/mr4tfs-SignInBtn""",Firefox 57.0,,2018-01-23 13:16:38,2018-01-23 13:16:38,0.000s,PASSED
"Statement - browseProjectButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 13:16:38,2018-01-23 13:16:38,0.000s,PASSED
openBrowser,Firefox 57.0,,2018-01-23 13:16:38,2018-01-23 13:16:42,4.425s,PASSED
maximizeWindow,Firefox 57.0,,2018-01-23 13:16:42,2018-01-23 13:16:42,0.058s,PASSED
navigateToUrl,Firefox 57.0,,2018-01-23 13:16:42,2018-01-23 13:17:12,29.740s,PASSED
setText,Firefox 57.0,,2018-01-23 13:17:12,2018-01-23 13:17:12,0.115s,PASSED
setText,Firefox 57.0,,2018-01-23 13:17:12,2018-01-23 13:17:12,0.045s,PASSED
setText,Firefox 57.0,,2018-01-23 13:17:12,2018-01-23 13:17:12,0.041s,PASSED
click,Firefox 57.0,,2018-01-23 13:17:12,2018-01-23 13:17:16,4.344s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 13:17:16,2018-01-23 13:17:16,0.057s,PASSED
Statement - browseProjectButtonText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(browseProjectButton)),Firefox 57.0,,2018-01-23 13:17:16,2018-01-23 13:17:16,0.038s,PASSED
"Statement - assert browseProjectButtonText == ""Browse""",Firefox 57.0,,2018-01-23 13:17:16,2018-01-23 13:17:16,0.001s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenProject,Firefox 57.0,"Define Collection Name, And Project Name.",2018-01-23 13:17:17,2018-01-23 13:17:20,3.775s,PASSED
"Statement - browseButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.001s,PASSED
"Statement - navigateButton = ""Object Repository/M4Tfs-StandAlone/RecentProjectPage/mr4tfs-ProjectNavigate""",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.000s,PASSED
click,Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.225s,PASSED
"Statement - collectionList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", CollectionValue(GetCollectionName()))",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.000s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(CollectionName, 1)",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.002s,PASSED
"Statement - return ((#treeviewProjects > ul > li[title="" + collectionName) + ""] span)",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.010s,PASSED
"Statement - className = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(collectionList, ""class"", STOP_ON_FAILURE)",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.026s,PASSED
"Statement - If (className.contains(""k-i-expand""))",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.239s,PASSED
"Statement - projectList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ProjectValue(GetProjectName()))",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.000s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(Project, 1)",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.002s,PASSED
"Statement - return ((li[title="" + projectName) + ""])",Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.001s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(projectList) == false),Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.029s,PASSED
Statement - Else,Firefox 57.0,,2018-01-23 13:17:17,2018-01-23 13:17:17,0.231s,PASSED
