Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mr4Tfs-SmartDocsTCSuites,Firefox 57.0,Prereq Contains Login And Open Project,2018-01-23 13:20:06,2018-01-23 13:20:54,48.207s,FAILED
,,,,,,
Test Cases/StandAlone-Prereqs/Mr4TfsLogin-StandAlone,Firefox 57.0,,2018-01-23 13:20:06,2018-01-23 13:20:43,36.988s,PASSED
"Statement - tfsServerUrl = ""M4Tfs-StandAlone/LoginPage/mr4tfs-TFSServerURL""",Firefox 57.0,,2018-01-23 13:20:07,2018-01-23 13:20:07,0.001s,PASSED
"Statement - tfsUserName = ""M4Tfs-StandAlone/LoginPage/mr4tfs-EmailAddress""",Firefox 57.0,,2018-01-23 13:20:07,2018-01-23 13:20:07,0.000s,PASSED
"Statement - tfsPassword = ""M4Tfs-StandAlone/LoginPage/mr4tfs-Password""",Firefox 57.0,,2018-01-23 13:20:07,2018-01-23 13:20:07,0.001s,PASSED
"Statement - signInBtn = ""M4Tfs-StandAlone/LoginPage/mr4tfs-SignInBtn""",Firefox 57.0,,2018-01-23 13:20:07,2018-01-23 13:20:07,0.001s,PASSED
"Statement - browseProjectButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 13:20:07,2018-01-23 13:20:07,0.001s,PASSED
openBrowser,Firefox 57.0,,2018-01-23 13:20:07,2018-01-23 13:20:11,4.641s,PASSED
maximizeWindow,Firefox 57.0,,2018-01-23 13:20:11,2018-01-23 13:20:11,0.060s,PASSED
navigateToUrl,Firefox 57.0,,2018-01-23 13:20:11,2018-01-23 13:20:41,29.912s,PASSED
setText,Firefox 57.0,,2018-01-23 13:20:41,2018-01-23 13:20:41,0.114s,PASSED
setText,Firefox 57.0,,2018-01-23 13:20:41,2018-01-23 13:20:41,0.040s,PASSED
setText,Firefox 57.0,,2018-01-23 13:20:41,2018-01-23 13:20:41,0.040s,PASSED
click,Firefox 57.0,,2018-01-23 13:20:41,2018-01-23 13:20:43,1.842s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 13:20:43,2018-01-23 13:20:43,0.045s,PASSED
Statement - browseProjectButtonText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(browseProjectButton)),Firefox 57.0,,2018-01-23 13:20:43,2018-01-23 13:20:43,0.027s,PASSED
"Statement - assert browseProjectButtonText == ""Browse""",Firefox 57.0,,2018-01-23 13:20:43,2018-01-23 13:20:43,0.001s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenProject,Firefox 57.0,"Define Collection Name, And Project Name.",2018-01-23 13:20:43,2018-01-23 13:20:46,2.586s,PASSED
"Statement - browseButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 13:20:43,2018-01-23 13:20:43,0.000s,PASSED
"Statement - navigateButton = ""Object Repository/M4Tfs-StandAlone/RecentProjectPage/mr4tfs-ProjectNavigate""",Firefox 57.0,,2018-01-23 13:20:43,2018-01-23 13:20:43,0.000s,PASSED
click,Firefox 57.0,,2018-01-23 13:20:43,2018-01-23 13:20:44,0.218s,PASSED
"Statement - collectionList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", CollectionValue(GetCollectionName()))",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.001s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(CollectionName, 1)",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.002s,PASSED
"Statement - return ((#treeviewProjects > ul > li[title="" + collectionName) + ""] span)",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.010s,PASSED
"Statement - className = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(collectionList, ""class"", STOP_ON_FAILURE)",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.022s,PASSED
"Statement - If (className.contains(""k-i-expand""))",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.237s,PASSED
"Statement - projectList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ProjectValue(GetProjectName()))",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.001s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(Project, 1)",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.002s,PASSED
"Statement - return ((li[title="" + projectName) + ""])",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.000s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(projectList) == false),Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.025s,PASSED
Statement - Else,Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.228s,PASSED
waitForElementClickable,Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.029s,PASSED
click,Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.226s,PASSED
"Statement - dashboardProjectName = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ""span.title.project-name"")",Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:44,0.000s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 13:20:44,2018-01-23 13:20:46,1.485s,PASSED
Statement - assert com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(dashboardProjectName) == GetProjectName(),Firefox 57.0,,2018-01-23 13:20:46,2018-01-23 13:20:46,0.015s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(Project, 1)",Firefox 57.0,,2018-01-23 13:20:46,2018-01-23 13:20:46,0.003s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenSmartDocModule,Firefox 57.0,,2018-01-23 13:20:46,2018-01-23 13:20:50,4.405s,PASSED
click,Firefox 57.0,,2018-01-23 13:20:46,2018-01-23 13:20:47,0.852s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 13:20:47,2018-01-23 13:20:50,3.478s,PASSED
delay,Firefox 57.0,,2018-01-23 13:20:50,2018-01-23 13:20:50,0.000s,NOT_RUN
,,,,,,
Test Cases/SmartDocs/VerifyThatUserIsAbleToCreateSmartDocFileOnBlankTemplate,Firefox 57.0,"Test Case Id : 18681,\nTest Case Developed By : Mubbashir Shakil,\nTest Case Created On : 23/Jan/2018",2018-01-23 13:20:50,2018-01-23 13:20:54,3.695s,FAILED
click,Firefox 57.0,,2018-01-23 13:20:51,2018-01-23 13:20:51,0.633s,PASSED
delay,Firefox 57.0,,2018-01-23 13:20:51,2018-01-23 13:20:52,1.038s,PASSED
click,Firefox 57.0,,2018-01-23 13:20:52,2018-01-23 13:20:53,0.732s,PASSED
delay,Firefox 57.0,,2018-01-23 13:20:53,2018-01-23 13:20:54,1.003s,PASSED
click,Firefox 57.0,,2018-01-23 13:20:54,2018-01-23 13:20:54,0.203s,FAILED
