Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - collectionList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", CollectionValue(GetCollectionName()))",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.000s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(CollectionName, 1)",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.021s,PASSED
"Statement - return ((#treeviewProjects > ul > li[title="" + collectionName) + ""] span)",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.008s,PASSED
"Statement - className = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(collectionList, ""class"", STOP_ON_FAILURE)",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.024s,PASSED
"Statement - If (className.contains(""k-i-expand""))",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.235s,PASSED
"Statement - projectList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ProjectValue(GetProjectName()))",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.001s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(Project, 1)",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.002s,PASSED
"Statement - return ((li[title="" + projectName) + ""])",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.000s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(projectList) == false),Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:19,0.082s,PASSED
Statement - Else,Firefox 57.0,,2018-01-23 13:13:19,2018-01-23 13:13:19,0.246s,PASSED
waitForElementClickable,Firefox 57.0,,2018-01-23 13:13:19,2018-01-23 13:13:19,0.030s,PASSED
click,Firefox 57.0,,2018-01-23 13:13:19,2018-01-23 13:13:19,0.225s,PASSED
"Statement - dashboardProjectName = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ""span.title.project-name"")",Firefox 57.0,,2018-01-23 13:13:19,2018-01-23 13:13:19,0.000s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 13:13:19,2018-01-23 13:13:21,1.646s,PASSED
Statement - assert com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(dashboardProjectName) == GetProjectName(),Firefox 57.0,,2018-01-23 13:13:21,2018-01-23 13:13:21,0.013s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(Project, 1)",Firefox 57.0,,2018-01-23 13:13:21,2018-01-23 13:13:21,0.003s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenSmartDocModule,Firefox 57.0,,2018-01-23 13:13:21,2018-01-23 13:13:21,0.504s,FAILED
click,Firefox 57.0,,2018-01-23 13:13:21,2018-01-23 13:13:21,0.434s,FAILED
,,,,,,
Test Cases/SmartDocs/VerifyThatUserIsAbleToCreateSmartDocFileOnBlankTemplate,Firefox 57.0,"Test Case Id : 18681,\nTest Case Developed By : Mubbashir Shakil,\nTest Case Created On : 23/Jan/2018",2018-01-23 13:13:21,2018-01-23 13:13:54,32.534s,FAILED
click,Firefox 57.0,,2018-01-23 13:13:21,2018-01-23 13:13:54,32.444s,FAILED
