Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mr4Tfs-SmartDocsTCSuites,Firefox 57.0,Prereq Contains Login And Open Project,2018-01-23 13:12:43,2018-01-23 13:13:54,1m - 10.320s,INCOMPLETE
,,,,,,
Test Cases/StandAlone-Prereqs/Mr4TfsLogin-StandAlone,Firefox 57.0,,2018-01-23 13:12:44,2018-01-23 13:13:18,34.086s,PASSED
"Statement - tfsServerUrl = ""M4Tfs-StandAlone/LoginPage/mr4tfs-TFSServerURL""",Firefox 57.0,,2018-01-23 13:12:44,2018-01-23 13:12:44,0.001s,PASSED
"Statement - tfsUserName = ""M4Tfs-StandAlone/LoginPage/mr4tfs-EmailAddress""",Firefox 57.0,,2018-01-23 13:12:44,2018-01-23 13:12:44,0.001s,PASSED
"Statement - tfsPassword = ""M4Tfs-StandAlone/LoginPage/mr4tfs-Password""",Firefox 57.0,,2018-01-23 13:12:44,2018-01-23 13:12:44,0.001s,PASSED
"Statement - signInBtn = ""M4Tfs-StandAlone/LoginPage/mr4tfs-SignInBtn""",Firefox 57.0,,2018-01-23 13:12:44,2018-01-23 13:12:44,0.001s,PASSED
"Statement - browseProjectButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 13:12:44,2018-01-23 13:12:44,0.001s,PASSED
openBrowser,Firefox 57.0,,2018-01-23 13:12:44,2018-01-23 13:12:49,5.241s,PASSED
maximizeWindow,Firefox 57.0,,2018-01-23 13:12:49,2018-01-23 13:12:49,0.057s,PASSED
navigateToUrl,Firefox 57.0,,2018-01-23 13:12:49,2018-01-23 13:13:15,26.138s,PASSED
setText,Firefox 57.0,,2018-01-23 13:13:15,2018-01-23 13:13:16,0.148s,PASSED
setText,Firefox 57.0,,2018-01-23 13:13:16,2018-01-23 13:13:16,0.055s,PASSED
setText,Firefox 57.0,,2018-01-23 13:13:16,2018-01-23 13:13:16,0.068s,PASSED
click,Firefox 57.0,,2018-01-23 13:13:16,2018-01-23 13:13:18,2.014s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.056s,PASSED
Statement - browseProjectButtonText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(browseProjectButton)),Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.030s,PASSED
"Statement - assert browseProjectButtonText == ""Browse""",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.002s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenProject,Firefox 57.0,"Define Collection Name, And Project Name.",2018-01-23 13:13:18,2018-01-23 13:13:21,2.861s,PASSED
"Statement - browseButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.001s,PASSED
"Statement - navigateButton = ""Object Repository/M4Tfs-StandAlone/RecentProjectPage/mr4tfs-ProjectNavigate""",Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.000s,PASSED
click,Firefox 57.0,,2018-01-23 13:13:18,2018-01-23 13:13:18,0.223s,PASSED
